# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
   71       2.529870062410e-10       4.617294980493e-14       4.151359401036e-13       4.151359401036e-12      -8.476432941999e-13       8.242772931469e-16       2.542789195203e-11       3.142079701751e-12      -9.229927936568e-15 
   72       2.561334228139e-10       4.795788799422e-14       4.268299102474e-13       4.268299102474e-12      -9.085660315942e-13       8.315399117463e-16       2.459197709867e-11       3.051069038017e-12      -9.264179852775e-15 
   73       2.593127700316e-10       4.977091472338e-14       4.386862966432e-13       4.386862966432e-12      -9.710417975578e-13       8.383719051249e-16       2.379403768811e-11       2.963912778072e-12      -9.302681396713e-15 
   74       2.625240731601e-10       5.161125636732e-14       4.507050992909e-13       4.507050992909e-12      -1.035041337695e-12       8.447728963836e-16       2.303111432968e-11       2.880409361056e-12      -9.358386290679e-15 
   75       2.657657098924e-10       5.347810839778e-14       4.628863181907e-13       4.628863181907e-12      -1.100533238964e-12       8.507435483601e-16       2.229935780443e-11       2.800273631998e-12      -9.445588684862e-15 
   76       2.690360878092e-10       5.537049965099e-14       4.752299533424e-13       4.752299533424e-12      -1.167482088496e-12       8.562846011856e-16       2.159498465618e-11       2.723212520520e-12      -9.575845077537e-15 
   77       2.723358924801e-10       5.728685606945e-14       4.877360047462e-13       4.877360047462e-12      -1.235842584559e-12       8.613937275532e-16       2.091742941005e-11       2.649176230990e-12      -9.744784921507e-15 
   78       2.756661911418e-10       5.922535743625e-14       5.004044724019e-13       5.004044724019e-12      -1.305564328538e-12       8.660681463545e-16       2.026670058764e-11       2.578146313625e-12      -9.942963096949e-15 
   79       2.790277403401e-10       6.118406374333e-14       5.132353563096e-13       5.132353563096e-12      -1.376593514063e-12       8.703055634978e-16       1.964242053180e-11       2.510058272664e-12      -1.015972817066e-14 
   80       2.824209674322e-10       6.316091262360e-14       5.262286564694e-13       5.262286564694e-12      -1.448872879460e-12       8.741041764480e-16       1.904380766192e-11       2.444799475147e-12      -1.038318158052e-14 
   81       2.858459520893e-10       6.515371678296e-14       5.393843728811e-13       5.393843728811e-12      -1.522341660197e-12       8.774626787655e-16       1.846965872935e-11       2.382207059695e-12      -1.060013681994e-14 
   82       2.893024077985e-10       6.716016143241e-14       5.527025055449e-13       5.527025055449e-12      -1.596935541335e-12       8.803802646455e-16       1.791833107269e-11       2.322065845289e-12      -1.079607862234e-14 
   83       2.927896633653e-10       6.917780172009e-14       5.661830544606e-13       5.661830544606e-12      -1.672586609974e-12       8.828566334578e-16       1.738772487323e-11       2.264106240047e-12      -1.095512214558e-14 
   84       2.963070435605e-10       7.120429149255e-14       5.798260196283e-13       5.798260196283e-12      -1.749230486440e-12       8.848922550983e-16       1.687579352856e-11       2.208068697406e-12      -1.106331150194e-14 
   85       2.998551240826e-10       7.323811877695e-14       5.936314010480e-13       5.936314010480e-12      -1.826829180321e-12       8.864892066456e-16       1.638221085688e-11       2.153913942800e-12      -1.111923304474e-14 
   86       3.034346516947e-10       7.527798808494e-14       6.075991987197e-13       6.075991987197e-12      -1.905351953912e-12       8.876504833717e-16       1.590694903101e-11       2.101643926001e-12      -1.112509488715e-14 
   87       3.070461519615e-10       7.732260122476e-14       6.217294126435e-13       6.217294126435e-12      -1.984768552391e-12       8.883797590532e-16       1.544976629607e-11       2.051237413945e-12      -1.108355907489e-14 
   88       3.106899174598e-10       7.937065862116e-14       6.360220428192e-13       6.360220428192e-12      -2.065049276916e-12       8.886813948935e-16       1.501019810078e-11       2.002649017946e-12      -1.099775689412e-14 
   89       3.143659959900e-10       8.142086063541e-14       6.504770892469e-13       6.504770892469e-12      -2.146165057729e-12       8.885604484459e-16       1.458754822877e-11       1.955808220927e-12      -1.087130417939e-14 
   90       3.180741787857e-10       8.347190888520e-14       6.650945519266e-13       6.650945519266e-12      -2.228087527252e-12       8.880226825360e-16       1.418087992985e-11       1.910618404638e-12      -1.070831662151e-14 
   91       3.218139887250e-10       8.552250756464e-14       6.798744308583e-13       6.798744308583e-12      -2.310789093191e-12       8.870745741848e-16       1.378900705134e-11       1.866955876879e-12      -1.051342507550e-14 
   92       3.255846685406e-10       8.757136476418e-14       6.948167260420e-13       6.948167260420e-12      -2.394243011632e-12       8.857233235313e-16       1.341048516935e-11       1.824668898723e-12      -1.029179086849e-14 
   93       3.293854585992e-10       8.961709486445e-14       7.099214374777e-13       7.099214374777e-12      -2.478416185001e-12       8.839763307966e-16       1.304395432004e-11       1.783614808021e-12      -1.004861737766e-14 
   94       3.332165036336e-10       9.165790605808e-14       7.251885651654e-13       7.251885651654e-12      -2.563246158107e-12       8.818395178107e-16       1.268924542120e-11       1.743779889673e-12      -9.787567485034e-15 
   95       3.370780612203e-10       9.369186805290e-14       7.406181091051e-13       7.406181091051e-12      -2.648660781357e-12       8.793187693662e-16       1.234642463348e-11       1.705175819173e-12      -9.512135303059e-15 
   96       3.409702166523e-10       9.571700677316e-14       7.562100692967e-13       7.562100692967e-12      -2.734585151218e-12       8.764204442822e-16       1.201545259940e-11       1.667802728894e-12      -9.226136977829e-15 
   97       3.448928751247e-10       9.773130432151e-14       7.719644457404e-13       7.719644457404e-12      -2.820941583451e-12       8.731513770252e-16       1.169618040094e-11       1.631648758248e-12      -8.933719082365e-15 
   98       3.488457539202e-10       9.973269894102e-14       7.878812384361e-13       7.878812384361e-12      -2.907649586346e-12       8.695188793296e-16       1.138834551727e-11       1.596689603858e-12      -8.639367009907e-15 
   99       3.528283745947e-10       1.017190849772e-13       8.039604473838e-13       8.039604473838e-12      -2.994625833957e-12       8.655307418187e-16       1.109156778232e-11       1.562888069712e-12      -8.347913367211e-15 
  100       3.568400551625e-10       1.036883128401e-13       8.202020725835e-13       8.202020725835e-12      -3.081784139340e-12       8.611952356249e-16       1.080534534250e-11       1.530193617333e-12      -8.064546367845e-15 
  101       3.608799022819e-10       1.056381889661e-13       8.366061140351e-13       8.366061140351e-12      -3.169035427782e-12       8.565211140104e-16       1.052905061433e-11       1.498541915943e-12      -7.794818225479e-15 
