# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
   56       2.095639143022e-10       2.341123520545e-14       2.592163381868e-13       2.592163381868e-12      -1.321637300257e-13       7.999313194060e-16       4.400759098192e-11       5.095437272231e-12      -4.939822934537e-15 
   57       2.122830814314e-10       2.469006535457e-14       2.684740645506e-13       2.684740645506e-12      -1.683332659039e-13       8.178653395443e-16       4.229121688156e-11       4.917172615870e-12      -4.944187193947e-15 
   58       2.150330112927e-10       2.600694392068e-14       2.778942071664e-13       2.778942071664e-12      -2.060522851760e-13       8.355568464278e-16       4.066780670907e-11       4.748584227531e-12      -5.278957947318e-15 
   59       2.178116888401e-10       2.736167806083e-14       2.874767660342e-13       2.874767660342e-12      -2.453657340474e-13       8.529928297441e-16       3.913038661820e-11       4.588874865108e-12      -5.826320160186e-15 
   60       2.206155382061e-10       2.875402071683e-14       2.972217411540e-13       2.972217411540e-12      -2.863247019700e-13       8.701611049415e-16       3.766873094446e-11       4.436893674867e-12      -6.448955826998e-15 
   61       2.234409653182e-10       3.018363612303e-14       3.071291325258e-13       3.071291325258e-12      -3.289761234679e-13       8.870503794878e-16       3.627220226368e-11       4.291447040544e-12      -7.018306968832e-15 
   62       2.262896148019e-10       3.164998985181e-14       3.171989401497e-13       3.171989401497e-12      -3.733283586710e-13       9.036503920452e-16       3.493942091214e-11       4.152356496706e-12      -7.508728451128e-15 
   63       2.291641223757e-10       3.315243196008e-14       3.274311640255e-13       3.274311640255e-12      -4.193784979695e-13       9.199518650611e-16       3.367045855643e-11       4.019604974867e-12      -7.923034943622e-15 
   64       2.320665309751e-10       3.469022601736e-14       3.378258041533e-13       3.378258041533e-12      -4.671223679018e-13       9.359465096502e-16       3.246392956332e-11       3.893018812387e-12      -8.265301262179e-15 
   65       2.349982436416e-10       3.626254691180e-14       3.483828605331e-13       3.483828605331e-12      -5.165545569833e-13       9.516270606458e-16       3.131690802328e-11       3.772258855273e-12      -8.540924277115e-15 
   66       2.379599764118e-10       3.786847865613e-14       3.591023331649e-13       3.591023331649e-12      -5.676684415366e-13       9.669873116505e-16       3.022484477406e-11       3.656811560979e-12      -8.756684821522e-15 
   67       2.409517112070e-10       3.950701219362e-14       3.699842220485e-13       3.699842220485e-12      -6.204562115205e-13       9.820221500875e-16       2.918148442422e-11       3.545980101215e-12      -8.920809599588e-15 
   68       2.439731974833e-10       4.117713781706e-14       3.810285271842e-13       3.810285271842e-12      -6.749074968923e-13       9.967272566810e-16       2.818053620424e-11       3.439077918879e-12      -9.042321344843e-15 
   69       2.470256805231e-10       4.287814907566e-14       3.922352485717e-13       3.922352485717e-12      -7.310048657467e-13       1.011098054839e-15       2.722126513787e-11       3.336074829549e-12      -9.128798007650e-15 
   70       2.501104403183e-10       4.460939678918e-14       4.036043862113e-13       4.036043862113e-12      -7.887274561912e-13       1.025130610375e-15       2.630388993217e-11       3.237066455371e-12      -9.188268648693e-15 
